timestamp,long_flux,short_flux
2025-07-24 10:08:00,1.1786047480200068e-06,2.7399760682556007e-08
2025-07-24 10:09:00,1.1846354937006254e-06,2.9757323716239625e-08
2025-07-24 10:10:00,1.2025702744722366e-06,3.3123086495834286e-08
2025-07-24 10:11:00,1.2318432709435e-06,3.4744960686339255e-08
2025-07-24 10:12:00,1.270748157367052e-06,3.86733916002413e-08
2025-07-24 10:13:00,1.3401504475041293e-06,4.574573964077899e-08
2025-07-24 10:14:00,1.4469213738266262e-06,5.827950744219379e-08
2025-07-24 10:15:00,1.565079287502158e-06,7.132270241072547e-08
2025-07-24 10:16:00,1.647394697101845e-06,7.858876216459976e-08
2025-07-24 10:17:00,1.7023758118739352e-06,8.295926079426863e-08
2025-07-24 10:18:00,1.7575274569026078e-06,8.454863120732625e-08
2025-07-24 10:19:00,1.8023247321252711e-06,8.68635225970138e-08
2025-07-24 10:20:00,1.8459857074049069e-06,8.784306260167796e-08
2025-07-24 10:21:00,1.8937388404083322e-06,8.908035198373909e-08
2025-07-24 10:22:00,1.9522658476489596e-06,9.004850909377637e-08
2025-07-24 10:23:00,2.030113364526187e-06,9.851635951463322e-08
2025-07-24 10:24:00,2.0839922854065662e-06,1.0294964170043386e-07
2025-07-24 10:25:00,2.103214001181186e-06,1.0104056968884834e-07
2025-07-24 10:26:00,2.1132250367372762e-06,9.701276582063656e-08
2025-07-24 10:27:00,2.124322918461985e-06,9.268165257481087e-08
2025-07-24 10:28:00,2.125853143297718e-06,8.8340044612778e-08
2025-07-24 10:29:00,2.1250250483717537e-06,8.60542215264104e-08
2025-07-24 10:30:00,2.129363565472886e-06,8.044217736369319e-08
2025-07-24 10:31:00,2.126153731296654e-06,7.971414106577868e-08
2025-07-24 10:32:00,2.1229873254924314e-06,7.752542785510741e-08
2025-07-24 10:33:00,2.1299852051015478e-06,7.564592863218422e-08
2025-07-24 10:34:00,2.13633711609873e-06,7.203914265119238e-08
2025-07-24 10:35:00,2.1495329747267533e-06,7.419144054665594e-08
2025-07-24 10:36:00,2.180025376219419e-06,7.172830152057941e-08
2025-07-24 10:37:00,2.220129999841447e-06,7.453095207665683e-08
2025-07-24 10:38:00,2.270217237310135e-06,7.794532308480484e-08
2025-07-24 10:39:00,2.31872832046065e-06,8.080431967982804e-08
2025-07-24 10:40:00,2.3609306936123176e-06,8.419580410645722e-08
2025-07-24 10:41:00,2.4246846805908717e-06,9.197904660140921e-08
2025-07-24 10:42:00,2.4724563445488457e-06,9.643834175676602e-08
2025-07-24 10:43:00,2.508081706764642e-06,1.0153295448844801e-07
2025-07-24 10:44:00,2.5668823582236655e-06,1.0539653061414356e-07
2025-07-24 10:45:00,2.642426125021302e-06,1.1573405345188803e-07
2025-07-24 10:46:00,2.7349508400220657e-06,1.242938054701881e-07
2025-07-24 10:47:00,2.8884226139780367e-06,1.4490613864381885e-07
2025-07-24 10:48:00,3.0658904961455846e-06,1.6752731823999056e-07
2025-07-24 10:49:00,3.2231230306933867e-06,1.844260282268806e-07
2025-07-24 10:50:00,3.3764802083169343e-06,2.012279765040148e-07
2025-07-24 10:51:00,3.494052862151875e-06,2.0880160889191757e-07
2025-07-24 10:52:00,3.549544999259524e-06,2.0496469232966774e-07
2025-07-24 10:53:00,3.5622658742795466e-06,1.9739459844458906e-07
2025-07-24 10:54:00,3.5210332498536445e-06,1.867568641955586e-07
2025-07-24 10:55:00,3.4354445688222768e-06,1.6864198926214158e-07
2025-07-24 10:56:00,3.361290509928949e-06,1.58507930336782e-07
2025-07-24 10:57:00,3.2773202747193864e-06,1.4808725268267153e-07
2025-07-24 10:58:00,3.1774961826158687e-06,1.3269573173602112e-07
2025-07-24 10:59:00,3.066961880904273e-06,1.226991486191764e-07
2025-07-24 11:00:00,2.955430545625859e-06,1.0947064765787218e-07
2025-07-24 11:01:00,2.8496363029262284e-06,1.0255332227870895e-07
2025-07-24 11:02:00,2.7563880848902045e-06,9.519115451439575e-08
2025-07-24 11:03:00,2.6953146061714506e-06,9.760540109482463e-08
2025-07-24 11:04:00,2.6530765353527386e-06,9.47584410937452e-08
2025-07-24 11:05:00,2.5971344257413875e-06,9.166808467853116e-08
2025-07-24 11:06:00,2.5455403829255374e-06,8.805967866010178e-08
2025-07-24 11:07:00,2.5138663204415934e-06,8.9069004616249e-08
2025-07-24 11:08:00,2.4781195406831102e-06,8.346351876298286e-08
2025-07-24 11:09:00,2.4142968868545722e-06,7.604697316310194e-08
2025-07-24 11:10:00,2.3444422367902007e-06,7.451691175219821e-08
2025-07-24 11:11:00,2.274017560921493e-06,6.88592010078537e-08
2025-07-24 11:12:00,2.218414010712877e-06,6.415876185883462e-08
2025-07-24 11:13:00,2.174861720050103e-06,6.112268380320529e-08
2025-07-24 11:14:00,2.184525328630116e-06,6.392505724761577e-08
2025-07-24 11:15:00,2.219455836893758e-06,7.105923316430562e-08
2025-07-24 11:16:00,2.2397684915631544e-06,7.228376119883251e-08
2025-07-24 11:17:00,2.2556480416824343e-06,7.400542045843395e-08
2025-07-24 11:18:00,2.2659423848381266e-06,7.446097782803918e-08
2025-07-24 11:19:00,2.268962589369039e-06,7.717604688650681e-08
2025-07-24 11:20:00,2.2696726773574483e-06,7.540533886185585e-08
2025-07-24 11:21:00,2.2820081539975945e-06,7.856088757307589e-08
2025-07-24 11:22:00,2.308649982296629e-06,7.800493762033511e-08
2025-07-24 11:23:00,2.355034666834399e-06,8.312166244195396e-08
2025-07-24 11:24:00,2.3951743060024455e-06,8.199190659752276e-08
2025-07-24 11:25:00,2.359083055125666e-06,7.69037242775994e-08
2025-07-24 11:26:00,2.3041980057314504e-06,7.264512191795802e-08
2025-07-24 11:27:00,2.234562998637557e-06,6.90540176151444e-08
2025-07-24 11:28:00,2.147433178834035e-06,6.480480152504242e-08
2025-07-24 11:29:00,2.063570491372957e-06,5.998780494564926e-08
2025-07-24 11:30:00,1.98205793822126e-06,5.812344383571144e-08
2025-07-24 11:31:00,1.910135779326083e-06,5.37524371679865e-08
2025-07-24 11:32:00,1.8519788227422396e-06,4.891768767834037e-08
2025-07-24 11:33:00,1.802344399948197e-06,4.6812406395702055e-08
