timestamp,long_flux,short_flux,goes_class
2025-07-28 01:09:00,9.126969179991737e-07,2.3880937335098232e-08,B
2025-07-28 01:10:00,9.151568840442466e-07,2.543031505047775e-08,B
2025-07-28 01:11:00,9.277144591041939e-07,2.624279119694821e-08,B
2025-07-28 01:12:00,9.359745906265028e-07,2.712279854991072e-08,B
2025-07-28 01:13:00,9.422828477417185e-07,2.7295124335610154e-08,B
2025-07-28 01:14:00,9.433674201735827e-07,2.7071325698428705e-08,B
2025-07-28 01:15:00,9.423414383968147e-07,2.686295149893064e-08,B
2025-07-28 01:16:00,9.355004811025493e-07,2.577628492799662e-08,B
2025-07-28 01:17:00,9.319183877629317e-07,2.5230591059034085e-08,B
2025-07-28 01:18:00,9.315113618599678e-07,2.5086644619566498e-08,B
2025-07-28 01:19:00,9.299603975630846e-07,2.4188028472681075e-08,B
2025-07-28 01:20:00,9.292580859407474e-07,2.4113962482545863e-08,B
2025-07-28 01:21:00,9.218682178426043e-07,2.5201885383674588e-08,B
2025-07-28 01:22:00,9.170595525515115e-07,2.6861355447770553e-08,B
2025-07-28 01:23:00,9.166612796031929e-07,2.4533612423936326e-08,B
2025-07-28 01:24:00,9.171031877962914e-07,2.613822363286883e-08,B
2025-07-28 01:25:00,9.149409442827283e-07,2.364554875943608e-08,B
2025-07-28 01:26:00,9.136245494790004e-07,2.2125735122018247e-08,B
2025-07-28 01:27:00,9.096927181521782e-07,2.3532014411756913e-08,B
2025-07-28 01:28:00,9.118928631800909e-07,2.1565864720612313e-08,B
2025-07-28 01:29:00,9.132648489837459e-07,2.2756517226163453e-08,B
2025-07-28 01:30:00,9.105825049610743e-07,2.363463094997448e-08,B
2025-07-28 01:31:00,9.069296629977395e-07,2.273936828178598e-08,B
2025-07-28 01:32:00,9.022569932566229e-07,2.2961048570665554e-08,B
2025-07-28 01:33:00,9.034070036459077e-07,2.2701695284095525e-08,B
2025-07-28 01:34:00,9.068985696476226e-07,2.2899141146123656e-08,B
2025-07-28 01:35:00,9.157811906542982e-07,2.4424206937444533e-08,B
2025-07-28 01:36:00,9.053762954356555e-07,2.2415134781082144e-08,B
2025-07-28 01:37:00,9.019801229412418e-07,2.247618538645469e-08,B
2025-07-28 01:38:00,9.020108379564724e-07,2.1716016742575854e-08,B
2025-07-28 01:39:00,9.015949100013713e-07,1.8970212127931554e-08,B
2025-07-28 01:40:00,8.997746840205003e-07,2.1076649909874204e-08,B
2025-07-28 01:41:00,9.018818155098297e-07,2.13494387032497e-08,B
2025-07-28 01:42:00,9.035300789663346e-07,2.0493662983380697e-08,B
2025-07-28 01:43:00,9.049659698188198e-07,2.1255908259386266e-08,B
2025-07-28 01:44:00,9.100426835130583e-07,2.0983897080777523e-08,B
2025-07-28 01:45:00,9.103285034054024e-07,2.02250259563676e-08,B
2025-07-28 01:46:00,9.113123362530147e-07,2.024632596184285e-08,B
2025-07-28 01:47:00,9.11108118349953e-07,2.1845123855554526e-08,B
2025-07-28 01:48:00,9.079652867229492e-07,2.2100241633095444e-08,B
2025-07-28 01:49:00,9.102311185147225e-07,2.2120506920721946e-08,B
2025-07-28 01:50:00,9.110712511994548e-07,2.350353687266867e-08,B
2025-07-28 01:51:00,9.13130116103156e-07,2.253741733310803e-08,B
2025-07-28 01:52:00,9.186035213804375e-07,2.1949033940098615e-08,B
2025-07-28 01:53:00,9.208866475494345e-07,2.1483472605623772e-08,B
2025-07-28 01:54:00,9.166634815867792e-07,2.1214056254828484e-08,B
2025-07-28 01:55:00,9.111681114533343e-07,2.0334902852655838e-08,B
2025-07-28 01:56:00,9.036494864884561e-07,2.147112024969149e-08,B
2025-07-28 01:57:00,9.014670477195888e-07,1.8216239378487748e-08,B
2025-07-28 01:58:00,9.004440311191949e-07,2.0146280539986992e-08,B
2025-07-28 01:59:00,8.97516096503124e-07,1.856878292475622e-08,B
2025-07-28 02:00:00,8.957036869582762e-07,2.1181572628839053e-08,B
2025-07-28 02:01:00,8.91771117598868e-07,2.1807683125621015e-08,B
2025-07-28 02:02:00,8.856523335766053e-07,2.0773167577713432e-08,B
2025-07-28 02:03:00,8.814281304545208e-07,1.972279989417255e-08,B
2025-07-28 02:04:00,8.801013277139855e-07,1.7874068846142504e-08,B
2025-07-28 02:05:00,8.814558066764906e-07,2.007612089504445e-08,B
2025-07-28 02:06:00,8.77007049685282e-07,1.756412590415683e-08,B
2025-07-28 02:07:00,8.765425877009263e-07,1.770129811581548e-08,B
2025-07-28 02:08:00,8.726902449064359e-07,1.8620719914983887e-08,B
2025-07-28 02:09:00,8.715674690378006e-07,1.776623650927585e-08,B
2025-07-28 02:10:00,8.680497392218013e-07,1.6615848018069578e-08,B
2025-07-28 02:11:00,8.645991079365409e-07,1.7218844548737037e-08,B
2025-07-28 02:12:00,8.627596446517525e-07,1.6967354899958937e-08,B
2025-07-28 02:13:00,8.642401473375909e-07,1.6190550381253038e-08,B
2025-07-28 02:14:00,8.678066050095844e-07,1.6232113635912515e-08,B
2025-07-28 02:15:00,8.725930957761655e-07,1.5823708440093894e-08,B
2025-07-28 02:16:00,8.758475781282645e-07,1.5455568553576997e-08,B
2025-07-28 02:17:00,8.685189266647971e-07,1.8965703523148777e-08,B
2025-07-28 02:18:00,8.631707092330335e-07,1.7696332122807047e-08,B
2025-07-28 02:19:00,8.585173261843786e-07,1.8322961814476457e-08,B
2025-07-28 02:20:00,8.554728867879855e-07,2.0487603782880522e-08,B
2025-07-28 02:21:00,8.513063685537328e-07,2.015687752775515e-08,B
2025-07-28 02:22:00,8.489798969482062e-07,2.019688414417191e-08,B
2025-07-28 02:23:00,8.460361552023955e-07,1.805457867544868e-08,B
2025-07-28 02:24:00,8.436500446000313e-07,1.9441638317456094e-08,B
2025-07-28 02:25:00,8.448861504042665e-07,2.0476932550312618e-08,B
2025-07-28 02:26:00,8.467719382798484e-07,1.944086232798305e-08,B
2025-07-28 02:27:00,8.487540869327113e-07,2.102251154759286e-08,B
2025-07-28 02:28:00,8.5432167523203e-07,2.0070082874323515e-08,B
